,,,ESTRATO,SERVICIO,,
,,,ESTRATO,SERVICIO,,
UBICACION_GEOGRAFICA,EMPRESA,Medidas,ESTRATO,,,
MUNICIPIO,EMPRESA,Medidas,ACUEDUCTO,,ALCANTARILLADO,ENERGIA ELECTRICA
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Facturación total,"61,253,932,570",,"6,988,757,679",0
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Consumo total ,"3,850,631.0",,"589,215.0",0.0
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Numero de suscriptores ,"11,892.00",,"6,758.00",NaN
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Subsidios,"2,558,589,111.0",,"390,458,113.0",0.0
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Contribuciones,"368,329,079.00",,"49,713,297.00",0.00
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Promedio de Facturación total ,"5,150,852.05",,"1,034,145.85",NaN
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Promedio de Consumo,323.80,,87.19,NaN
BARANOA,"82-SOCIEDAD DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE BARRANQUILLA S.A. E.S.P.",Numero de periodos,1.00,,1.00,0.00
BARANOA,2322-VATIA S.A. E.S.P.,Facturación total,0,,0,"1,037,703,790"
BARANOA,2322-VATIA S.A. E.S.P.,Facturación por consumo,0,,0,"935,544,001"
BARANOA,2322-VATIA S.A. E.S.P.,Consumo total ,0.0,,0.0,"1,344,822.0"
BARANOA,2322-VATIA S.A. E.S.P.,Numero de suscriptores ,NaN,,NaN,7.00
BARANOA,2322-VATIA S.A. E.S.P.,Contribuciones,0.00,,0.00,"-102,436,748.00"
BARANOA,2322-VATIA S.A. E.S.P.,Promedio de Facturación total ,NaN,,NaN,"148,243,398.57"
BARANOA,2322-VATIA S.A. E.S.P.,Promedio de Facturación por consumo,NaN,,NaN,"133,649,143.00"
BARANOA,2322-VATIA S.A. E.S.P.,Promedio de Consumo,NaN,,NaN,"192,117.43"
BARANOA,2322-VATIA S.A. E.S.P.,Valor Facturado por unidad de consumo,NaN,,NaN,695.66
BARANOA,2322-VATIA S.A. E.S.P.,Numero de periodos,0.00,,0.00,1.00
BARANOA,20437-ENERTOTAL S.A. E.S.P.,Facturación total,0,,0,"90,842,069"
BARANOA,20437-ENERTOTAL S.A. E.S.P.,Facturación por consumo,0,,0,"74,063,123"
BARANOA,20437-ENERTOTAL S.A. E.S.P.,Consumo total ,0.0,,0.0,"79,993.0"
